SPRINT NO,ISSUEID,ISSUE TYPE,STATE,RELATES TO,ESTIMATED TIME,START DATE,END DATE,COMPLETE DATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
Sprint 5,,,CLOSED,,,25/May/15 12:11 AM,13/Jun/15 11:11 PM,15/Jun/15 1:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EG-3,Story,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow",,,,,,,,,,,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-5,Sub-task,,EG-3,12Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,,,,,,,,,,,,
,EG-19,Sub-task,,EG-3,12Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:timeestimate
FromString:43200
ToString:64800 
 Field:timespent
FromString:43200
ToString:21600 
 Field:WorklogId
FromString:10726
ToString:None",,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600 
 Field:timespent
FromString:21600
ToString:64800 
 Field:WorklogId
FromString:10747
ToString:None",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-20,Sub-task,,EG-3,6Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600 
 Field:timespent
FromString:21600
ToString:64800 
 Field:WorklogId
FromString:10747
ToString:None",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-21,Sub-task,,EG-3,12Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:timeestimate
FromString:64800
ToString:21600 
 Field:timespent
FromString:21600
ToString:64800 
 Field:WorklogId
FromString:10747
ToString:None",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-27,Sub-task,,EG-3,12Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-4,Story,,,,,,,"Field:Workflow
FromString:Agile Simplified Workflow for Project EG
ToString:AMD Agile Workflow",,,,,,,,,,,,,,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-7,Sub-task,,EG-4,18Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-8,Sub-task,,EG-4,6Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
,EG-9,Sub-task,,EG-4,12Hours,,,,,"Field:timespent
FromString:None
ToString:21600 
 Field:WorklogId
FromString:10603
ToString:None",,,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,"Field:resolution
FromString:None
ToString:Done",,,"Field:resolution
FromString:None
ToString:Done",,,,,,,,,
